                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.80824,                 1.2159,                 1.1828,                0.77383,                0.74147,                0.79467,                0.63121,                    nan,                    nan,                    nan,             0.00011936,             0.00011936,             0.00011936
                     38,                0.79765,                  1.193,                 1.1756,                0.77883,                0.74149,                0.80278,                0.63767,                    nan,                    nan,                    nan,             0.00011451,             0.00011451,             0.00011451
                     39,                0.79343,                 1.1761,                 1.1735,                0.77944,                0.76705,                0.80355,                0.64087,                    nan,                    nan,                    nan,             0.00010966,             0.00010966,             0.00010966
                     40,                0.78558,                 1.1544,                  1.173,                0.71781,                0.77124,                0.78642,                0.62413,                    nan,                    nan,                    nan,             0.00010481,             0.00010481,             0.00010481
                     41,                0.79422,                 1.1624,                 1.1715,                0.78954,                0.72029,                0.79364,                0.63725,                    nan,                    nan,                    nan,              9.996e-05,              9.996e-05,              9.996e-05
                     42,                 0.8047,                 1.1783,                 1.1757,                0.78349,                 0.7509,                0.80285,                0.63473,                    nan,                    nan,                    nan,             9.5109e-05,             9.5109e-05,             9.5109e-05
                     43,                0.79158,                 1.1473,                 1.1741,                0.76746,                0.77319,                0.80595,                0.63551,                    nan,                    nan,                    nan,             9.0258e-05,             9.0258e-05,             9.0258e-05
                     44,                0.77657,                 1.1255,                 1.1634,                0.74337,                0.76365,                0.79521,                 0.6334,                    nan,                    nan,                    nan,             8.5407e-05,             8.5407e-05,             8.5407e-05
                     45,                0.78721,                  1.131,                 1.1703,                0.77238,                0.76013,                0.80085,                0.63524,                    nan,                    nan,                    nan,             8.0556e-05,             8.0556e-05,             8.0556e-05
                     46,                0.77787,                 1.1107,                 1.1609,                0.76085,                0.76328,                0.79922,                0.64361,                    nan,                    nan,                    nan,             7.5705e-05,             7.5705e-05,             7.5705e-05
                     47,                0.76274,                 1.0915,                 1.1636,                0.79269,                0.76203,                0.80538,                0.65003,                    nan,                    nan,                    nan,             7.0854e-05,             7.0854e-05,             7.0854e-05
                     48,                0.76791,                 1.0868,                 1.1545,                0.79169,                0.74793,                0.81059,                0.65576,                    nan,                    nan,                    nan,             6.6003e-05,             6.6003e-05,             6.6003e-05
                     49,                 0.7665,                 1.0633,                 1.1521,                 0.8144,                0.73218,                0.80276,                0.64877,                    nan,                    nan,                    nan,             6.1152e-05,             6.1152e-05,             6.1152e-05
                     50,                0.76252,                 1.0631,                 1.1511,                0.77398,                0.78379,                 0.8056,                 0.6435,                    nan,                    nan,                    nan,             5.6301e-05,             5.6301e-05,             5.6301e-05
                     51,                0.58726,                 0.6991,                 1.0697,                0.77904,                0.75273,                0.80093,                0.64058,                    nan,                    nan,                    nan,              5.145e-05,              5.145e-05,              5.145e-05
                     52,                0.57766,                 0.6601,                 1.0712,                0.80413,                0.70523,                0.80144,                0.63773,                    nan,                    nan,                    nan,             4.6599e-05,             4.6599e-05,             4.6599e-05
                     53,                0.56405,                0.63542,                 1.0588,                0.81587,                0.71708,                 0.7995,                 0.6437,                    nan,                    nan,                    nan,             4.1748e-05,             4.1748e-05,             4.1748e-05
                     54,                0.56305,                0.62394,                  1.058,                0.76894,                 0.7431,                0.79597,                0.64626,                    nan,                    nan,                    nan,             3.6897e-05,             3.6897e-05,             3.6897e-05
                     55,                 0.5613,                0.61736,                 1.0577,                0.82582,                0.73295,                0.80768,                0.65192,                    nan,                    nan,                    nan,             3.2046e-05,             3.2046e-05,             3.2046e-05
                     56,                0.54858,                0.60695,                 1.0482,                0.78206,                0.75883,                0.81016,                0.65228,                    nan,                    nan,                    nan,             2.7195e-05,             2.7195e-05,             2.7195e-05
                     57,                0.54551,                0.58961,                 1.0431,                0.79518,                0.75303,                0.80598,                 0.6515,                    nan,                    nan,                    nan,             2.2344e-05,             2.2344e-05,             2.2344e-05
                     58,                0.53766,                0.58526,                 1.0458,                0.82505,                0.72873,                0.81001,                0.65082,                    nan,                    nan,                    nan,             1.7493e-05,             1.7493e-05,             1.7493e-05
                     59,                0.52446,                0.55262,                 1.0288,                0.81211,                0.73321,                0.80741,                0.65038,                    nan,                    nan,                    nan,             1.2642e-05,             1.2642e-05,             1.2642e-05
                     60,                 0.5296,                 0.5576,                 1.0281,                0.78258,                0.76177,                0.80361,                0.64693,                    nan,                    nan,                    nan,              7.791e-06,              7.791e-06,              7.791e-06
